label,pca_x,pca_y,tsne_x,tsne_y
0,-69.23105621,3.47593522,-17.83126068,17.18615341
0,-16.71703529,10.51324272,1.30735219,-12.54870319
0,-14.45363331,5.75622463,6.33429623,-5.50272465
0,-13.32245350,5.05022049,6.31090927,-5.65588617
0,-41.26083755,14.17769146,-11.69192696,18.23324203
0,-16.41572189,18.81720734,3.36048126,-1.64473510
0,-37.96381378,15.08861923,-12.43172932,-18.73966026
0,-67.31838226,3.78915858,-15.00621223,-18.68784904
0,-33.36732101,-99.40996552,-17.44626999,29.47096825
0,35.56827927,-109.92259216,16.64125061,13.90709019
0,46.26600266,-108.31813049,16.74526215,12.94568062
0,49.08859634,-105.68937683,16.76409912,13.24264908
1,100.11088562,-76.88846588,-7.64402962,34.03648376
1,157.25053406,-77.40243530,31.41116714,12.83243561
1,130.76074219,-66.35281372,30.96648979,3.42120361
1,79.72169495,-53.92413330,26.70655632,-3.23233604
1,107.72578430,-33.41046906,-10.40507126,36.25881577
1,222.81076050,-33.70458221,38.44911575,1.53982818
1,217.76342773,-37.95672226,33.55033493,1.53158331
1,176.66728210,-33.76602173,32.72536469,0.90699327
0,-60.54542160,8.26850510,-16.14125252,20.81469917
0,-19.52254486,12.44367409,0.38045952,-3.14317918
0,-26.45098495,13.66372395,-0.28497455,-2.77992845
0,-51.75955200,12.97052383,-14.46561432,-19.92402840
0,-85.19943237,26.06831169,-20.12404442,13.35764027
0,-52.84009171,33.68537903,-8.56379032,-5.28286695
0,-52.38189316,28.82020760,-8.09488583,-5.15645456
0,-55.00677872,25.17492676,-7.45385504,-3.32595730
0,-7.74162149,-54.47753143,-14.11097813,27.75059128
0,29.48491096,-64.00783539,16.54684067,4.46058512
0,8.72689247,-56.37181091,19.19954109,-0.12914619
0,-22.20483398,-49.89579773,19.50945282,-1.62083793
1,-30.88561630,-9.80534554,-4.60236263,22.63908768
1,-23.84696007,2.21601033,4.77169180,-13.76323605
1,-16.14767456,10.30319214,4.62939548,-14.28670788
1,-34.50886536,12.90465164,-17.04656219,-25.75721359
0,44.77190781,152.25006104,-5.92436647,13.53349686
0,147.87361145,212.71626282,1.24770296,-32.60857391
0,127.32377625,194.43461609,-0.34290105,-32.87561417
0,81.85002899,163.05183411,-3.16910696,-33.74518204
0,-88.18370056,18.81976509,-20.31958389,9.10924435
0,-71.58390808,22.08382416,-18.09692955,3.34101009
0,-68.88610840,40.54623795,-15.75831699,-9.66107655
0,-80.35913086,45.35230255,-17.52557373,-22.00520325
1,-47.40431976,12.62738419,-8.25419044,20.16195488
1,-2.37497139,23.06695747,8.56886005,-18.08638382
1,-2.32370687,23.16517639,9.35387611,-18.51085281
1,-3.28167033,22.79769325,9.57095528,-18.50325584
0,-120.36842346,17.04257393,-23.60325432,14.55079269
0,-87.98859406,33.72832108,-12.34462643,-5.94956589
0,-85.71409607,31.95450401,-10.42056751,-5.65150404
0,-85.70954895,32.06119156,-13.81047916,-3.50408435
0,-112.74041748,7.17398119,-21.36533928,14.35505962
